id,category,text,audio,status,note
golden_daily_0018,daily,我想了一下，饮料我帮你买半糖少冰，听起来会比较真实一点。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0018.wav,,
golden_daily_0019,daily,没关系啦，讲话清楚但不要太用力，我只是希望你轻松一点。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0019.wav,,
golden_daily_0020,daily,你先不用急，不要为了讨好别人委屈自己，不要急，我们慢慢来。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0020.wav,,
golden_daily_0021,daily,我觉得这样也可以，你刚刚说的我有听到，听起来会比较真实一点。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0021.wav,,
golden_daily_0022,daily,这件事我们不要想太复杂，这件事没有你想的那么糟，这样比较像我们平常说话。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0022.wav,,
golden_daily_0023,daily,等一下我们再确认一次，先把心情放松一点，不用太甜，温柔一点就好。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0023.wav,,
golden_daily_0024,daily,我不是在催你，不要一个人硬撑，我觉得这样就满好了。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0024.wav,,
golden_daily_0025,daily,等一下我们再确认一次，先不要急着证明自己，我在，不用担心。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0025.wav,,
golden_daily_0026,daily,没关系啦，不用马上回我，我在，不用担心。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0026.wav,,
golden_daily_0027,voice,你这样讲我懂，尾音软一点就很好听，我觉得这个声音会比较耐听。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0027.wav,,
golden_daily_0028,voice,我刚刚有看到讯息，卷舌不用太明显，如果不舒服，我们就先停一下。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0028.wav,,
golden_daily_0029,daily,今天先简单一点就好，这件事没有你想的那么糟，我们先做到自然，再来追求更像。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0029.wav,,
golden_daily_0030,daily,你先不用急，我会陪你一起看，我们先做到自然，再来追求更像。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0030.wav,,
golden_daily_0031,daily,你先不用急，我觉得你已经做得很好了，听起来会比较真实一点。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0031.wav,,
golden_daily_0032,daily,我想了一下，不要为了讨好别人委屈自己，你想清楚以后再决定也可以。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0032.wav,,
golden_daily_0033,daily,我先把东西放好，先不要急着证明自己，这样手机上应该会比较稳。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0033.wav,,
golden_daily_0034,daily,我先把东西放好，你慢慢来就好，不要急，我们慢慢来。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0034.wav,,
golden_daily_0035,daily,你先不用急，不要为了讨好别人委屈自己，这样手机上应该会比较稳。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0035.wav,,
golden_daily_0036,daily,这件事我们不要想太复杂，我会陪你一起看，我觉得这样就满好了。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0036.wav,,
golden_daily_0037,voice,你等我一下，声音放轻一点会比较自然，你想清楚以后再决定也可以。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0037.wav,,
golden_daily_0038,daily,你慢慢说，不要为了讨好别人委屈自己，听起来会比较真实一点。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0038.wav,,
golden_daily_0039,daily,没关系啦，你如果累了就先休息，你可以先跟我说没关系。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0039.wav,,
golden_daily_0040,daily,欸，我刚到楼下，不用马上回我，我不会觉得你很麻烦。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0040.wav,,
golden_daily_0041,daily,我们晚一点再说，先不要急着证明自己，我只是希望你轻松一点。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0041.wav,,
golden_daily_0042,daily,欸，我刚到楼下，这句话可以再讲清楚一点，我觉得这样就满好了。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0042.wav,,
golden_daily_0043,daily,我们晚一点再说，我会陪你一起看，你想清楚以后再决定也可以。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0043.wav,,
golden_daily_0044,daily,等一下我们再确认一次，讲话清楚但不要太用力，我只是希望你轻松一点。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0044.wav,,
golden_daily_0045,daily,我刚刚有看到讯息，像平常聊天那样就好，听起来会比较真实一点。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0045.wav,,
golden_daily_0046,daily,等一下我们再确认一次，我想听你真实的想法，我们先做到自然，再来追求更像。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0046.wav,,
golden_daily_0047,daily,你等我一下，晚餐我们吃简单一点，这样手机上应该会比较稳。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0047.wav,,
golden_daily_0048,daily,今天外面有点热，不要一个人硬撑，不要急，我们慢慢来。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0048.wav,,
golden_daily_0049,daily,如果你愿意的话，我在这边等你，我只是希望你轻松一点。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0049.wav,,
golden_daily_0050,daily,没关系啦，不要一个人硬撑，我不会觉得你很麻烦。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0050.wav,,
golden_daily_0051,daily,我刚刚有看到讯息，先不要急着证明自己，听起来会比较真实一点。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0051.wav,,
golden_daily_0052,daily,我刚刚有看到讯息，晚餐我们吃简单一点，你可以先跟我说没关系。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0052.wav,,
golden_daily_0053,daily,如果你愿意的话，我会陪你一起看，我觉得这样就满好了。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0053.wav,,
golden_daily_0054,daily,我们晚一点再说，像平常聊天那样就好，听起来会比较真实一点。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0054.wav,,
golden_daily_0055,daily,没关系啦，我会陪你一起看，如果不舒服，我们就先停一下。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0055.wav,,
golden_daily_0056,daily,我刚刚有看到讯息，不要为了讨好别人委屈自己，我们先做到自然，再来追求更像。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0056.wav,,
golden_daily_0057,daily,今天外面有点热，先不要急着证明自己，我们先做到自然，再来追求更像。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0057.wav,,
golden_daily_0058,daily,我们晚一点再说，像平常聊天那样就好，我不会觉得你很麻烦。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0058.wav,,
golden_daily_0059,daily,欸，我刚到楼下，饮料我帮你买半糖少冰，这样手机上应该会比较稳。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0059.wav,,
golden_daily_0060,daily,今天先简单一点就好，晚餐我们吃简单一点，我在，不用担心。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0060.wav,,
golden_daily_0061,daily,你等我一下，我们一步一步来，等一下再一起确认一次。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0061.wav,,
golden_daily_0062,voice,我觉得这样也可以，你刚刚说的我有听到，我觉得这个声音会比较耐听。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0062.wav,,
golden_daily_0063,daily,我先把东西放好，这句话可以再讲清楚一点，这样比较像我们平常说话。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0063.wav,,
golden_daily_0064,daily,我先把东西放好，我想听你真实的想法，我在，不用担心。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0064.wav,,
golden_daily_0065,daily,今天先简单一点就好，讲话清楚但不要太用力，我只是希望你轻松一点。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0065.wav,,
golden_daily_0066,voice,今天外面有点热，尾音软一点就很好听，听起来会比较真实一点。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0066.wav,,
golden_daily_0067,voice,今天先简单一点就好，卷舌不用太明显，这样比较像我们平常说话。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0067.wav,,
golden_daily_0068,daily,欸，我刚到楼下，你如果累了就先休息，听起来会比较真实一点。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0068.wav,,
golden_daily_0069,daily,我觉得这样也可以，你如果累了就先休息，你可以先跟我说没关系。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0069.wav,,
golden_daily_0070,daily,这件事我们不要想太复杂，像平常聊天那样就好，你想清楚以后再决定也可以。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0070.wav,,
golden_daily_0071,voice,你慢慢说，尾音软一点就很好听，我们先做到自然，再来追求更像。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0071.wav,,
golden_daily_0072,daily,我想了一下，你慢慢来就好，不用太甜，温柔一点就好。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0072.wav,,
golden_daily_0073,voice,我刚刚在开会，你刚刚说的我有听到，我觉得这个声音会比较耐听。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0073.wav,,
golden_daily_0074,daily,没关系啦，不要为了讨好别人委屈自己，我在，不用担心。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0074.wav,,
golden_daily_0075,daily,我等一下顺路过去，饮料我帮你买半糖少冰，你可以先跟我说没关系。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0075.wav,,
golden_daily_0076,daily,没关系啦，先不要急着证明自己，这样手机上应该会比较稳。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0076.wav,,
golden_daily_0077,daily,我觉得这样也可以，不用马上回我，不用太甜，温柔一点就好。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0077.wav,,
golden_daily_0078,daily,我们晚一点再说，这句话可以再讲清楚一点，你想清楚以后再决定也可以。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0078.wav,,
golden_daily_0079,daily,你等我一下，我会陪你一起看，如果不舒服，我们就先停一下。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0079.wav,,
golden_daily_0080,daily,如果你愿意的话，不要为了讨好别人委屈自己，不用太甜，温柔一点就好。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0080.wav,,
golden_daily_0081,daily,我刚刚有看到讯息，这句话可以再讲清楚一点，不用太甜，温柔一点就好。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0081.wav,,
golden_daily_0082,voice,如果你愿意的话，尾音软一点就很好听，听起来会比较真实一点。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0082.wav,,
golden_daily_0083,voice,我刚刚有看到讯息，尾音软一点就很好听，等一下再一起确认一次。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0083.wav,,
golden_daily_0084,daily,你等我一下，饮料我帮你买半糖少冰，我只是希望你轻松一点。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0084.wav,,
golden_daily_0085,voice,我等一下顺路过去，你慢慢来就好，我觉得这个声音会比较耐听。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0085.wav,,
golden_daily_0086,daily,我刚刚有看到讯息，先把心情放松一点，不要急，我们慢慢来。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0086.wav,,
golden_daily_0087,voice,你等我一下，尾音软一点就很好听，我们先做到自然，再来追求更像。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0087.wav,,
golden_daily_0088,voice,如果你愿意的话，声音放轻一点会比较自然，如果不舒服，我们就先停一下。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0088.wav,,
golden_daily_0089,daily,你这样讲我懂，不要为了讨好别人委屈自己，这样比较像我们平常说话。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0089.wav,,
golden_daily_0090,daily,我觉得这样也可以，不要为了讨好别人委屈自己，这样手机上应该会比较稳。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0090.wav,,
golden_daily_0091,daily,我想了一下，你如果累了就先休息，你可以先跟我说没关系。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0091.wav,,
golden_daily_0092,voice,你这样讲我懂，尾音软一点就很好听，你可以先跟我说没关系。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0092.wav,,
golden_daily_0093,voice,你慢慢说，先不要急着证明自己，我觉得这个声音会比较耐听。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0093.wav,,
golden_daily_0094,daily,你先不用急，先把心情放松一点，不用太甜，温柔一点就好。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0094.wav,,
golden_daily_0095,voice,你这样讲我懂，你刚刚说的我有听到，我觉得这个声音会比较耐听。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0095.wav,,
golden_daily_0096,daily,欸，我刚到楼下，我想听你真实的想法，我们先做到自然，再来追求更像。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0096.wav,,
golden_daily_0097,voice,欸，我刚到楼下，声音放轻一点会比较自然，听起来会比较真实一点。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0097.wav,,
golden_daily_0098,daily,我先把东西放好，饮料我帮你买半糖少冰，你可以先跟我说没关系。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0098.wav,,
golden_daily_0099,daily,欸，我刚到楼下，我们一步一步来，如果不舒服，我们就先停一下。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0099.wav,,
golden_daily_0100,daily,这件事我们不要想太复杂，晚餐我们吃简单一点，我不会觉得你很麻烦。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0100.wav,,
golden_daily_0101,daily,我先把东西放好，不要讲得太像主播，不要急，我们慢慢来。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0101.wav,,
golden_daily_0102,daily,欸，我刚到楼下，我们先确认最重要的那件事，我觉得这样就满好了。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0102.wav,,
golden_daily_0103,daily,你这样讲我懂，我们先确认最重要的那件事，我只是希望你轻松一点。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0103.wav,,
golden_daily_0104,daily,欸，我刚到楼下，这件事没有你想的那么糟，你想清楚以后再决定也可以。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0104.wav,,
golden_daily_0105,daily,我想了一下，像平常聊天那样就好，你可以先跟我说没关系。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0105.wav,,
golden_daily_0106,daily,今天外面有点热，不要讲得太像主播，等一下再一起确认一次。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0106.wav,,
golden_daily_0107,daily,今天先简单一点就好，我们先确认最重要的那件事，我不会觉得你很麻烦。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0107.wav,,
golden_daily_0108,daily,等一下我们再确认一次，你刚刚说的我有听到，如果不舒服，我们就先停一下。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0108.wav,,
golden_daily_0109,daily,你这样讲我懂，晚餐我们吃简单一点，如果不舒服，我们就先停一下。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0109.wav,,
golden_daily_0110,daily,我刚刚在开会，这句话可以再讲清楚一点，不用太甜，温柔一点就好。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0110.wav,,
golden_daily_0111,daily,你慢慢说，先把心情放松一点，等一下再一起确认一次。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0111.wav,,
golden_daily_0112,daily,如果你愿意的话，晚餐我们吃简单一点，听起来会比较真实一点。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0112.wav,,
golden_daily_0113,voice,等一下我们再确认一次，尾音软一点就很好听，我觉得这样就满好了。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0113.wav,,
golden_daily_0114,daily,欸，我刚到楼下，饮料我帮你买半糖少冰，这样比较像我们平常说话。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0114.wav,,
golden_daily_0115,daily,等一下我们再确认一次，我们先确认最重要的那件事，这样手机上应该会比较稳。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0115.wav,,
golden_daily_0116,voice,欸，我刚到楼下，晚餐我们吃简单一点，我觉得这个声音会比较耐听。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0116.wav,,
golden_daily_0117,daily,你这样讲我懂，不要为了讨好别人委屈自己，你可以先跟我说没关系。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0117.wav,,
golden_daily_0118,daily,我等一下顺路过去，你如果累了就先休息，你可以先跟我说没关系。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0118.wav,,
golden_daily_0119,voice,我觉得这样也可以，尾音软一点就很好听，我不会觉得你很麻烦。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0119.wav,,
golden_daily_0120,daily,我先把东西放好，这件事没有你想的那么糟，如果不舒服，我们就先停一下。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0120.wav,,
golden_daily_0121,daily,你慢慢说，晚餐我们吃简单一点，我只是希望你轻松一点。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0121.wav,,
golden_daily_0122,daily,我不是在催你，讲话清楚但不要太用力，不要急，我们慢慢来。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0122.wav,,
golden_daily_0123,daily,你这样讲我懂，饮料我帮你买半糖少冰，我只是希望你轻松一点。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0123.wav,,
golden_daily_0124,voice,你先喝一点水，先把心情放松一点，我觉得这个声音会比较耐听。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0124.wav,,
golden_daily_0125,daily,今天外面有点热，你慢慢来就好，这样手机上应该会比较稳。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0125.wav,,
golden_daily_0126,daily,我不是在催你，我们一步一步来，我在，不用担心。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0126.wav,,
golden_daily_0127,daily,我觉得这样也可以，不要一个人硬撑，这样手机上应该会比较稳。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0127.wav,,
golden_daily_0128,voice,我等一下顺路过去，尾音软一点就很好听，我在，不用担心。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0128.wav,,
golden_daily_0129,daily,没关系啦，像平常聊天那样就好，这样比较像我们平常说话。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0129.wav,,
golden_daily_0130,daily,我等一下顺路过去，我想听你真实的想法，等一下再一起确认一次。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0130.wav,,
golden_daily_0131,daily,我不是在催你，我觉得你已经做得很好了，不用太甜，温柔一点就好。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0131.wav,,
golden_daily_0132,daily,你慢慢说，像平常聊天那样就好，你可以先跟我说没关系。,distillation/taiwan_mandarin_low_r/teacher_cosy_clear_best2_golden_daily_500_v1/audio/golden_daily_0132.wav,,
