role,source,clip,duration,rms_db,peak_db,silence_ratio,transcript
conan,/Users/ader/Documents/Codex/2026-05-23/youtube/extracted_audio/conan_official_voice/verified/conan/011_conan_ep648_000907000_000910000.wav,/Users/ader/Documents/App/distillation/conan_authorized_voice_refs_v1/clips_24k/conan_011_conan_ep648_000907000_000910000.wav,3.0,-20.0,-6.47,0.058,就先这样解释吧。
conan,/Users/ader/Documents/Codex/2026-05-23/youtube/extracted_audio/conan_official_voice/verified/conan/012_conan_ep649_000922500_000924500.wav,/Users/ader/Documents/App/distillation/conan_authorized_voice_refs_v1/clips_24k/conan_012_conan_ep649_000922500_000924500.wav,2.0,-20.0,-6.1,0.0,你只要配合我的声音桩口型。
conan,/Users/ader/Documents/Codex/2026-05-23/youtube/extracted_audio/conan_official_voice/verified/conan/013_conan_ep649_001101000_001104000.wav,/Users/ader/Documents/App/distillation/conan_authorized_voice_refs_v1/clips_24k/conan_013_conan_ep649_001101000_001104000.wav,3.0,-20.0,-5.4,0.0,在那个露天威权里躲了一整个威胁。
conan,/Users/ader/Documents/Codex/2026-05-23/youtube/extracted_audio/conan_official_voice/verified/conan/014_conan_ep593_000039000_000041500.wav,/Users/ader/Documents/App/distillation/conan_authorized_voice_refs_v1/clips_24k/conan_014_conan_ep593_000039000_000041500.wav,2.5,-20.0,-7.78,0.0,我想你的脑袋里面...
conan,/Users/ader/Documents/Codex/2026-05-23/youtube/extracted_audio/conan_official_voice/verified/conan/015_conan_ep593_000059500_000103000.wav,/Users/ader/Documents/App/distillation/conan_authorized_voice_refs_v1/clips_24k/conan_015_conan_ep593_000059500_000103000.wav,3.5,-20.0,-4.22,0.0,谢谢你张靠叔叔不好意思
agasa,/Users/ader/Documents/Codex/2026-05-23/youtube/extracted_audio/conan_official_voice/verified/agasa/016_agasa_ep751_000606000_000611000.wav,/Users/ader/Documents/App/distillation/conan_authorized_voice_refs_v1/clips_24k/agasa_016_agasa_ep751_000606000_000611000.wav,5.0,-20.0,-2.23,0.155,真不愧是露营地附近开的店。露营的用具全部都很强。
agasa,/Users/ader/Documents/Codex/2026-05-23/youtube/extracted_audio/conan_official_voice/verified/agasa/017_agasa_ep751_000628000_000630800.wav,/Users/ader/Documents/App/distillation/conan_authorized_voice_refs_v1/clips_24k/agasa_017_agasa_ep751_000628000_000630800.wav,2.8,-20.0,-4.96,0.115,这这这一些烦恼跟你一样多。
agasa,/Users/ader/Documents/Codex/2026-05-23/youtube/extracted_audio/conan_official_voice/verified/agasa/018_agasa_ep751_001502000_001507000.wav,/Users/ader/Documents/App/distillation/conan_authorized_voice_refs_v1/clips_24k/agasa_018_agasa_ep751_001502000_001507000.wav,5.0,-20.0,-3.02,0.0,可是王平这点就认定他是幼稚圆老师有点牵强有很多运动
agasa,/Users/ader/Documents/Codex/2026-05-23/youtube/extracted_audio/conan_official_voice/verified/agasa/019_agasa_ep648_000031000_000036500.wav,/Users/ader/Documents/App/distillation/conan_authorized_voice_refs_v1/clips_24k/agasa_019_agasa_ep648_000031000_000036500.wav,5.5,-20.0,-6.21,0.0,"因为我要去修东西了,有一间旅馆老板对我的发明很感觉。"
agasa,/Users/ader/Documents/Codex/2026-05-23/youtube/extracted_audio/conan_official_voice/verified/agasa/020_agasa_ep648_000037000_000042000.wav,/Users/ader/Documents/App/distillation/conan_authorized_voice_refs_v1/clips_24k/agasa_020_agasa_ep648_000037000_000042000.wav,5.0,-20.0,-4.54,0.0,所以从我这里买了很多东西回去而且听说非常好看。
agasa,/Users/ader/Documents/Codex/2026-05-23/youtube/extracted_audio/conan_official_voice/verified/agasa/021_agasa_ep648_000043000_000047500.wav,/Users/ader/Documents/App/distillation/conan_authorized_voice_refs_v1/clips_24k/agasa_021_agasa_ep648_000043000_000047500.wav,4.5,-20.0,-4.87,0.0,"好评,可是最近却评传故障。是什么样的吧,咪。"
agasa,/Users/ader/Documents/Codex/2026-05-23/youtube/extracted_audio/conan_official_voice/verified/agasa/022_agasa_ep648_000057000_000100500.wav,/Users/ader/Documents/App/distillation/conan_authorized_voice_refs_v1/clips_24k/agasa_022_agasa_ep648_000057000_000100500.wav,3.5,-20.0,-5.46,0.0,"别聊着了兢兢兢always,justwaitingoverseas."
agasa,/Users/ader/Documents/Codex/2026-05-23/youtube/extracted_audio/conan_official_voice/verified/agasa/023_agasa_ep648_000918000_000934000.wav,/Users/ader/Documents/App/distillation/conan_authorized_voice_refs_v1/clips_24k/agasa_023_agasa_ep648_000918000_000934000.wav,16.0,-20.0,-2.48,0.135,"哦,好像是因为几年前伤到脚筋。后来走路就变得一直是那样,在电视的记录片里有提到这一段。重点是,难得来到这里,不如去泡泡这家温泉旅馆,最有名的湖上。"
agasa,/Users/ader/Documents/Codex/2026-05-23/youtube/extracted_audio/conan_official_voice/verified/agasa/024_agasa_ep648_001016500_001024500.wav,/Users/ader/Documents/App/distillation/conan_authorized_voice_refs_v1/clips_24k/agasa_024_agasa_ep648_001016500_001024500.wav,8.0,-20.0,-5.69,0.019,"这画南汤换成大的那边,一边看着早晨的太阳升级,一边泡温泉,感觉应该不错。好。"
agasa,/Users/ader/Documents/Codex/2026-05-23/youtube/extracted_audio/conan_official_voice/verified/agasa/025_agasa_ep648_001039000_001048000.wav,/Users/ader/Documents/App/distillation/conan_authorized_voice_refs_v1/clips_24k/agasa_025_agasa_ep648_001039000_001048000.wav,9.0,-20.0,-4.32,0.043,"在湖上露亭温泉里沐浴在朝阳之中,感觉不错,感觉不错吧。"
agasa,/Users/ader/Documents/Codex/2026-05-23/youtube/extracted_audio/conan_official_voice/verified/agasa/026_agasa_ep649_000915200_000920500.wav,/Users/ader/Documents/App/distillation/conan_authorized_voice_refs_v1/clips_24k/agasa_026_agasa_ep649_000915200_000920500.wav,5.3,-20.0,-3.69,0.028,我对这里发生的事是非常重要的。
agasa,/Users/ader/Documents/Codex/2026-05-23/youtube/extracted_audio/conan_official_voice/verified/agasa/027_agasa_ep649_000941000_000948500.wav,/Users/ader/Documents/App/distillation/conan_authorized_voice_refs_v1/clips_24k/agasa_027_agasa_ep649_000941000_000948500.wav,7.5,-20.0,-3.9,0.029,在工医室里面找到的不知道为什么装着水的日本茶宝特瓶还有浮在水面上用过的火柴棒球。
agasa,/Users/ader/Documents/Codex/2026-05-23/youtube/extracted_audio/conan_official_voice/verified/agasa/028_agasa_ep649_001023000_001031000.wav,/Users/ader/Documents/App/distillation/conan_authorized_voice_refs_v1/clips_24k/agasa_028_agasa_ep649_001023000_001031000.wav,8.0,-20.0,-5.91,0.0,"因为泡温泉很容易会口渴。那么,又在湖面上的火柴棒是怎么回事?那是为了赶走睡一会儿。"
agasa,/Users/ader/Documents/Codex/2026-05-23/youtube/extracted_audio/conan_official_voice/verified/agasa/029_agasa_ep649_001042500_001047500.wav,/Users/ader/Documents/App/distillation/conan_authorized_voice_refs_v1/clips_24k/agasa_029_agasa_ep649_001042500_001047500.wav,5.0,-20.0,-5.65,0.0,"我只说是抽烟而已,可没有说是抽香烟啊。"
agasa,/Users/ader/Documents/Codex/2026-05-23/youtube/extracted_audio/conan_official_voice/verified/agasa/030_agasa_ep649_001054000_001059000.wav,/Users/ader/Documents/App/distillation/conan_authorized_voice_refs_v1/clips_24k/agasa_030_agasa_ep649_001054000_001059000.wav,5.0,-20.0,-2.69,0.206,"等一下,要是一边抽烟斗,一边等的话,那么……"
agasa,/Users/ader/Documents/Codex/2026-05-23/youtube/extracted_audio/conan_official_voice/verified/agasa/031_agasa_ep649_001116000_001119500.wav,/Users/ader/Documents/App/distillation/conan_authorized_voice_refs_v1/clips_24k/agasa_031_agasa_ep649_001116000_001119500.wav,3.5,-20.0,-3.87,0.0,"那个人才是兇手,他假扮成铁山星星的女人。"
